,name,all_th,img_th,text_th,f1score,precision,recall
203,vote5,0.5,0.7500000000000002,0.7500000000000002,0.8935344400862848,0.9209955641057772,0.9095939644032165
198,vote5,0.5,0.7500000000000002,0.7000000000000002,0.8935073017911239,0.9133744751884884,0.9174496004617994
168,vote5,0.5,0.7000000000000002,0.7500000000000002,0.8930373548342326,0.9144864156758419,0.9153188165339481
163,vote5,0.5,0.7000000000000002,0.7000000000000002,0.8927037185968784,0.9075353137693531,0.9221946354466889
133,vote5,0.5,0.6500000000000001,0.7500000000000002,0.8926407719554579,0.9086307889416447,0.9211235404606796
138,vote5,0.5,0.6500000000000001,0.8000000000000003,0.8924280567465647,0.9130327608048591,0.9159726807517177
193,vote5,0.5,0.7500000000000002,0.6500000000000001,0.8924164052453791,0.9051603906269001,0.924500116041921
173,vote5,0.5,0.7000000000000002,0.8000000000000003,0.8924020562094379,0.9196224658736403,0.9086940272884846
367,vote4,0.55,0.7500000000000002,0.7500000000000002,0.8923079678844519,0.9098493873658658,0.9182656992979532
103,vote5,0.5,0.6000000000000001,0.8000000000000003,0.8922838740119473,0.9057174167360788,0.9235682216506244
363,vote5,0.55,0.7500000000000002,0.7000000000000002,0.8922723811619443,0.9233138825299539,0.9064459174445944
288,vote5,0.55,0.6000000000000001,0.7000000000000002,0.892232587355979,0.9109603153175696,0.9187970510223089
333,vote5,0.55,0.7000000000000002,0.6500000000000001,0.8922147869841077,0.913477022012766,0.9163157552088769
98,vote5,0.5,0.6000000000000001,0.7500000000000002,0.892192399527843,0.9018625868153646,0.9277268873973291
358,vote5,0.55,0.7500000000000002,0.6500000000000001,0.8921878873413781,0.9167007662107376,0.9130228448232409
338,vote5,0.55,0.7000000000000002,0.7000000000000002,0.8921872962443866,0.9189055049518899,0.9106769517602332
233,vote5,0.5,0.8000000000000003,0.7000000000000002,0.8921724760517756,0.9168281545656926,0.9115002600809442
283,vote5,0.55,0.6000000000000001,0.6500000000000001,0.892162222287825,0.90690194143813,0.9227884573302938
208,vote5,0.5,0.7500000000000002,0.8000000000000003,0.8921472708380263,0.9266628162510061,0.9013736191820036
313,vote5,0.55,0.6500000000000001,0.7000000000000002,0.8921386675463421,0.9153814925451679,0.9145199577090912
362,vote4,0.55,0.7500000000000002,0.7000000000000002,0.892134730874974,0.9051487845474234,0.9228181131092954
128,vote5,0.5,0.6500000000000001,0.7000000000000002,0.8920898551851446,0.902594745493998,0.9268462764015781
293,vote5,0.55,0.6000000000000001,0.7500000000000002,0.8920631414206012,0.9150378434386995,0.9143967460798202
308,vote5,0.55,0.6500000000000001,0.6500000000000001,0.8919278645931462,0.9102715697257304,0.9192154918289072
158,vote5,0.5,0.7000000000000002,0.6500000000000001,0.8917397876911471,0.9005530481606412,0.9282265083362652
342,vote4,0.55,0.7000000000000002,0.7500000000000002,0.8917057633572708,0.9064498946243695,0.9207670371352329
68,vote5,0.5,0.55,0.8000000000000003,0.8916819148298591,0.8986957966844251,0.9303830480588077
318,vote5,0.55,0.6500000000000001,0.7500000000000002,0.8916576993022518,0.9198198953976484,0.9093036101243246
343,vote5,0.55,0.7000000000000002,0.7500000000000002,0.8915799997937894,0.9242451168538212,0.9044224083612237
63,vote5,0.5,0.55,0.7500000000000002,0.8915694743474565,0.8953697246392155,0.9338938895481718
228,vote5,0.5,0.8000000000000003,0.6500000000000001,0.8915676808399841,0.9078420113417524,0.9200681977343032
93,vote5,0.5,0.6000000000000001,0.7000000000000002,0.8915572231940437,0.8966772710877087,0.9324102458964162
337,vote4,0.55,0.7000000000000002,0.7000000000000002,0.8915081056204676,0.901785634677259,0.9252596058030665
353,vote5,0.55,0.7500000000000002,0.6000000000000001,0.8914267284301214,0.9099499190146749,0.9185417772667371
263,vote5,0.55,0.55,0.7000000000000002,0.8914170350081978,0.9058633130930288,0.9226250922725174
238,vote5,0.5,0.8000000000000003,0.7500000000000002,0.8913987789595088,0.9252163056026618,0.9017628487072314
457,vote4,0.6,0.7500000000000001,0.7000000000000001,0.8913778714830318,0.9143034888872481,0.9119740104809846
382,vote4,0.6,0.6,0.7000000000000001,0.8913390986512891,0.9013601494462606,0.9252737723669802
368,vote5,0.55,0.7500000000000002,0.7500000000000002,0.8913304115873353,0.929294571595726,0.8991880572235151
317,vote4,0.55,0.6500000000000001,0.7500000000000002,0.8913246395087664,0.9024533564521425,0.9242557008081389
328,vote5,0.55,0.7000000000000002,0.6000000000000001,0.8912945594856938,0.9071997516235127,0.921098143387569
268,vote5,0.55,0.55,0.7500000000000002,0.891251730833995,0.9094640948717662,0.9187735949551078
159,vote6,0.5,0.7000000000000002,0.6500000000000001,0.8912135747609986,0.9145527884918316,0.9143997477102831
258,vote5,0.55,0.55,0.6500000000000001,0.8911348851973369,0.9019188360661632,0.9262792699185535
432,vote4,0.6,0.7000000000000001,0.7000000000000001,0.8911095785951515,0.9107595215934653,0.9150786200227624
278,vote5,0.55,0.6000000000000001,0.6000000000000001,0.8910464723337412,0.9015779989731347,0.9263421930593095
312,vote4,0.55,0.6500000000000001,0.7000000000000002,0.8910449052038877,0.8979026706904951,0.9285477288143931
407,vote4,0.6,0.65,0.7000000000000001,0.8910362606654578,0.9065894956649102,0.9193247800713947
164,vote6,0.5,0.7000000000000002,0.7000000000000002,0.8910321635189513,0.9223444554006679,0.9062638382224157
373,vote5,0.6,0.6,0.6,0.8910211005116657,0.9156405437698176,0.9119744523656038
423,vote5,0.6,0.7000000000000001,0.6,0.8909913019406062,0.9210996172729177,0.906724044000883
303,vote5,0.55,0.6500000000000001,0.6000000000000001,0.8909815251520782,0.9044689124629773,0.9234739255715246
194,vote6,0.5,0.7500000000000002,0.6500000000000001,0.8909338239481311,0.918862009645651,0.9094798536823566
123,vote5,0.5,0.6500000000000001,0.6500000000000001,0.8909255738724889,0.8962091004490731,0.9317753591299232
259,vote6,0.55,0.55,0.6500000000000001,0.8909159117930673,0.9159675327857395,0.9133162008507859
398,vote5,0.6,0.65,0.6,0.8909159079735176,0.9186060023663097,0.9091538788540925
378,vote5,0.6,0.6,0.65,0.8908959325544282,0.9192500948136388,0.908289143796812
89,vote6,0.5,0.6000000000000001,0.6500000000000001,0.8908299129111327,0.9050757912170021,0.9236453125365026
94,vote6,0.5,0.6000000000000001,0.7000000000000002,0.890763121164841,0.9105837863980243,0.9178138178613662
357,vote4,0.55,0.7500000000000002,0.6500000000000001,0.8907616774585161,0.8976894560271127,0.9284101904908346
207,vote4,0.5,0.7500000000000002,0.8000000000000003,0.890716381264975,0.8957038518097256,0.9302454271574369
387,vote4,0.6,0.6,0.7500000000000001,0.8906566106999853,0.9057021489523529,0.9198833097475475
124,vote6,0.5,0.6500000000000001,0.6500000000000001,0.8906428237424425,0.9096708747513114,0.9187690720772141
428,vote5,0.6,0.7000000000000001,0.65,0.8905924185256874,0.9254002469255173,0.9020881752908514
242,vote4,0.5,0.8000000000000003,0.8000000000000003,0.8905895789648601,0.896688235745784,0.9289833473177135
129,vote6,0.5,0.6500000000000001,0.7000000000000002,0.8905642785605895,0.9160841114077204,0.9120522886756428
403,vote5,0.6,0.65,0.65,0.8905617686312471,0.922294580504579,0.9051406355274141
202,vote4,0.5,0.7500000000000002,0.7500000000000002,0.8905576728615474,0.8933132701819134,0.9323928532477983
392,vote4,0.6,0.6,0.8000000000000002,0.8905330902990831,0.9093833031772318,0.9158685456784088
99,vote6,0.5,0.6000000000000001,0.7500000000000002,0.8905313128237877,0.9155364083442198,0.912348668399908
58,vote5,0.5,0.55,0.7000000000000002,0.89051917366448,0.8904796074964506,0.9375210438822402
448,vote5,0.6,0.7500000000000001,0.6,0.8905052949022672,0.9227789041418598,0.904271097228341
462,vote4,0.6,0.7500000000000001,0.7500000000000001,0.8904576385259044,0.9193758640244277,0.9056917217602687
482,vote4,0.6,0.8000000000000002,0.7000000000000001,0.8904507804637841,0.9159118664313818,0.9086637288822699
172,vote4,0.5,0.7000000000000002,0.8000000000000003,0.8904505213549385,0.8933471124883108,0.9324372774032355
237,vote4,0.5,0.8000000000000003,0.7500000000000002,0.8904432470131577,0.8943067545265194,0.9311307734080747
292,vote4,0.55,0.6000000000000001,0.7500000000000002,0.8904314213377592,0.8965163709816568,0.9291397778436731
264,vote6,0.55,0.55,0.7000000000000002,0.8904268785165351,0.9194212976698509,0.9093039988335121
88,vote5,0.5,0.6000000000000001,0.6500000000000001,0.8903837480090627,0.8912394376375851,0.936425329491899
412,vote4,0.6,0.65,0.7500000000000001,0.8903810740577723,0.9112885066007187,0.9137487551176976
254,vote6,0.55,0.55,0.6000000000000001,0.8903174168914563,0.9120815254237016,0.9159037820329552
348,vote5,0.55,0.7500000000000002,0.55,0.8903157370637546,0.902129748142096,0.9242708563416743
167,vote4,0.5,0.7000000000000002,0.7500000000000002,0.8902993184712795,0.8909886515110028,0.9345847034935971
253,vote5,0.55,0.55,0.6000000000000001,0.8902945219363706,0.8970561094726937,0.9299264952714598
287,vote4,0.55,0.6000000000000001,0.7000000000000002,0.8902903689680239,0.8924294605648686,0.9332180314426166
437,vote4,0.6,0.7000000000000001,0.7500000000000001,0.8902519203672642,0.9157148115952879,0.9089603153789556
417,vote4,0.6,0.65,0.8000000000000002,0.8902411215430193,0.9152772345865946,0.9094324504762908
189,vote6,0.5,0.7500000000000002,0.6000000000000001,0.8902020505818795,0.9105077299196112,0.9168627210290835
452,vote4,0.6,0.7500000000000001,0.65,0.890189542993417,0.9058172710874952,0.9188661124927897
54,vote6,0.5,0.55,0.6500000000000001,0.8901367244121987,0.8994105465533533,0.9286106934592662
323,vote5,0.55,0.7000000000000002,0.55,0.8901364886987613,0.8998145909075652,0.9262898866333612
154,vote6,0.5,0.7000000000000002,0.6000000000000001,0.8901260246929367,0.9068918746195997,0.9206363050231269
329,vote6,0.55,0.7000000000000002,0.6000000000000001,0.8901187111824116,0.9213114484505838,0.9070783745163059
199,vote6,0.5,0.7500000000000002,0.7000000000000002,0.8901158854293061,0.9271470832213107,0.9000450809048975
467,vote4,0.6,0.7500000000000001,0.8000000000000002,0.8900902112219755,0.9236417058621207,0.9008040449010272
59,vote6,0.5,0.55,0.7000000000000002,0.8900817294311729,0.9040550161180643,0.9237075555869247
332,vote4,0.55,0.7000000000000002,0.6500000000000001,0.8900622557593294,0.8943688675493884,0.9307440929737578
309,vote6,0.55,0.6500000000000001,0.6500000000000001,0.8900445969322482,0.9228231705652591,0.9057748145170998
383,vote5,0.6,0.6,0.7000000000000001,0.8900244423432326,0.9223429447098384,0.9037344079404626
442,vote4,0.6,0.7000000000000001,0.8000000000000002,0.8900137515129486,0.919948883660988,0.904274560921594
334,vote6,0.55,0.7000000000000002,0.6500000000000001,0.8899563019185823,0.9263077811042995,0.9021823403262085
249,vote6,0.55,0.55,0.55,0.8899547434542199,0.9073843518208324,0.9196440341067907
269,vote6,0.55,0.55,0.7500000000000002,0.8899462304393044,0.9222673142005289,0.9056564413951838
64,vote6,0.5,0.55,0.7500000000000002,0.8899440181141407,0.9083163945335855,0.9190139814782404
284,vote6,0.55,0.6000000000000001,0.6500000000000001,0.8899080758109771,0.9190130790077472,0.9091039210161909
427,vote4,0.6,0.7000000000000001,0.65,0.8898775378899744,0.9025390327621106,0.9216982466424766
104,vote6,0.5,0.6000000000000001,0.8000000000000003,0.8898425827873783,0.9197152325575001,0.9068347696474042
137,vote4,0.5,0.6500000000000001,0.8000000000000003,0.8898166024101296,0.8896800518932853,0.9355191629798317
279,vote6,0.55,0.6000000000000001,0.6000000000000001,0.8898017271627948,0.9153888107481478,0.9122605624355629
453,vote5,0.6,0.7500000000000001,0.65,0.8897247993826993,0.9272270979642699,0.898940691495738
132,vote4,0.5,0.6500000000000001,0.7500000000000002,0.8896974322500258,0.8873885154684749,0.9376602316698617
298,vote5,0.55,0.6500000000000001,0.55,0.8896928374837079,0.8974781974241902,0.9281085397284765
354,vote6,0.55,0.7500000000000002,0.6000000000000001,0.8896711962274396,0.9234754776803316,0.904070583523745
304,vote6,0.55,0.6500000000000001,0.6000000000000001,0.8896638567046308,0.9182811969782971,0.9094421746488303
408,vote5,0.6,0.65,0.7000000000000001,0.8896220463360369,0.9256410747519943,0.9002154973027526
134,vote6,0.5,0.6500000000000001,0.7500000000000002,0.8896192956053985,0.921413385794718,0.9052108411949837
29,vote6,0.5,0.5,0.7500000000000002,0.8896065198003302,0.9020398415503468,0.9245419139308474
377,vote4,0.6,0.6,0.65,0.889606230675684,0.8936096664381805,0.9307491569619545
34,vote6,0.5,0.5,0.8000000000000003,0.8895665144599342,0.9049390299196247,0.9214059017503963
473,vote5,0.6,0.8000000000000002,0.6,0.8895433515927275,0.9239559624154507,0.9016782583353071
69,vote6,0.5,0.55,0.8000000000000003,0.8895343185448403,0.9116560534416963,0.9147089514205222
169,vote6,0.5,0.7000000000000002,0.7500000000000002,0.8895309338674363,0.928378385036233,0.8979975576145739
307,vote4,0.55,0.6500000000000001,0.6500000000000001,0.8895253531409869,0.8906744035986575,0.9338074537415638
197,vote4,0.5,0.7500000000000002,0.7000000000000002,0.8894967372044371,0.8890045027512166,0.9353322670228872
274,vote6,0.55,0.6000000000000001,0.55,0.8894757093541786,0.9104483135876217,0.916140745978238
402,vote4,0.6,0.65,0.65,0.8894751101688316,0.8984104609025474,0.9253759549227444
433,vote5,0.6,0.7000000000000001,0.7000000000000001,0.8894675721136668,0.9293273588053088,0.8962618043379658
84,vote6,0.5,0.6000000000000001,0.6000000000000001,0.8894369380787489,0.8987498389022816,0.928053636273107
273,vote5,0.55,0.6000000000000001,0.55,0.8894367455046128,0.8946828438929275,0.9305218968137666
324,vote6,0.55,0.7000000000000002,0.55,0.8894329871743237,0.915320936771604,0.9115549381076721
229,vote6,0.5,0.8000000000000003,0.6500000000000001,0.8894283863920747,0.9212901117360393,0.9043313891140994
487,vote4,0.6,0.8000000000000002,0.7500000000000001,0.8894022976714314,0.9210592458934264,0.9021384543552421
299,vote6,0.55,0.6500000000000001,0.55,0.8893998590523015,0.9130267007062707,0.9137069561840013
232,vote4,0.5,0.8000000000000003,0.7000000000000002,0.8893971532348919,0.8899815839110098,0.9340994312246904
477,vote4,0.6,0.8000000000000002,0.65,0.8893795291803428,0.9071330871225501,0.9160393625028851
314,vote6,0.55,0.6500000000000001,0.7000000000000002,0.8893323382489743,0.9273897602615229,0.9003012962763091
19,vote6,0.5,0.5,0.6500000000000001,0.8893138829940657,0.8942723306392759,0.9323595968544217
289,vote6,0.55,0.6000000000000001,0.7000000000000002,0.8893007321649398,0.9229371951181485,0.9043759195917355
162,vote4,0.5,0.7000000000000002,0.7000000000000002,0.8892273475176501,0.8867029822544119,0.9375016218521274
359,vote6,0.55,0.7500000000000002,0.6500000000000001,0.8892270491406711,0.929227822227198,0.8981163540009814
119,vote6,0.5,0.6500000000000001,0.6000000000000001,0.8892144608572307,0.9025788016023931,0.923801920179187
188,vote5,0.5,0.7500000000000002,0.6000000000000001,0.8892058865637282,0.8945011081999896,0.9305056033199641
339,vote6,0.55,0.7000000000000002,0.7000000000000002,0.8891917940514994,0.9322842470724226,0.8953436795610364
243,vote5,0.5,0.8000000000000003,0.8000000000000003,0.8891566222424219,0.9317031601280262,0.8914977116329299
349,vote6,0.55,0.7500000000000002,0.55,0.88915075060754,0.9169475607684348,0.9093618954135446
33,vote5,0.5,0.5,0.8000000000000003,0.889149194526078,0.8895822472286371,0.9356019290798582
53,vote5,0.5,0.55,0.6500000000000001,0.8890850351360591,0.8854387666107709,0.940909679551849
28,vote5,0.5,0.5,0.7500000000000002,0.8890359718384586,0.8869541959527192,0.938284998899648
24,vote6,0.5,0.5,0.7000000000000002,0.8889940747921767,0.8976449030592601,0.9281177872112187
224,vote6,0.5,0.8000000000000003,0.6000000000000001,0.888980047162763,0.912351017633979,0.9127416471513826
388,vote5,0.6,0.6,0.7500000000000001,0.8889543512256534,0.9247909697225847,0.8999132467714637
492,vote4,0.6,0.8000000000000002,0.8000000000000002,0.8888927869637553,0.9254705957532354,0.8969365482931275
248,vote5,0.55,0.55,0.55,0.8887478922918701,0.8909926851356532,0.9333460304300285
282,vote4,0.55,0.6000000000000001,0.6500000000000001,0.888740587320309,0.8854906362406391,0.9381977480147872
478,vote5,0.6,0.8000000000000002,0.65,0.8887281149373908,0.9289964748893011,0.8957504988707045
458,vote5,0.6,0.7500000000000001,0.7000000000000001,0.8886688392761896,0.9320651004472442,0.8923500143481242
139,vote6,0.5,0.6500000000000001,0.8000000000000003,0.888546557240317,0.9263745273071972,0.8983064382121598
127,vote4,0.5,0.6500000000000001,0.7000000000000002,0.8885458021252871,0.8831337710572615,0.9404404659212574
153,vote5,0.5,0.7000000000000002,0.6000000000000001,0.8885144559547129,0.890548429441441,0.933507405213919
294,vote6,0.55,0.6000000000000001,0.7500000000000002,0.8884849183329995,0.9264397162829788,0.8997084782963812
49,vote6,0.5,0.55,0.6000000000000001,0.8884842625005606,0.8934887427309227,0.9320925446138811
184,vote6,0.5,0.7500000000000002,0.55,0.8884121600570682,0.9007477092707583,0.9239738760329804
223,vote5,0.5,0.8000000000000003,0.6000000000000001,0.888390676981285,0.8962572799410008,0.9270559218867346
23,vote5,0.5,0.5,0.7000000000000002,0.8883293687150856,0.8832086511674295,0.9413464767165906
393,vote5,0.6,0.6,0.8000000000000002,0.888242471589364,0.9274547591333585,0.8962888073781118
413,vote5,0.6,0.65,0.7500000000000001,0.8882114805465039,0.9283442578190002,0.8955686486004353
149,vote6,0.5,0.7000000000000002,0.55,0.8881427356201038,0.8978205910306177,0.926859449696273
466,vote3,0.6,0.7500000000000001,0.8000000000000002,0.8881209047328738,0.9045472426133861,0.9138641024581156
461,vote3,0.6,0.7500000000000001,0.7500000000000001,0.8881065298387024,0.9011017184816259,0.9173553085067042
441,vote3,0.6,0.7000000000000001,0.8000000000000002,0.8880550109655524,0.9010983682031599,0.9173400731489298
319,vote6,0.55,0.6500000000000001,0.7500000000000002,0.8880342841800583,0.9314341524256782,0.8944298431682817
