,name,all_th,img_th,text_th,f1score,precision,recall
223,vote5,0.5,0.8000000000000003,0.6000000000000001,0.8781375850183174,0.9442385935995088,0.8679405973160016
133,vote5,0.5,0.6500000000000001,0.7500000000000002,0.8778468595018808,0.9456374236137444,0.8669043467232462
258,vote5,0.55,0.55,0.6500000000000001,0.8772759398580894,0.9423281482544041,0.8686664673076044
198,vote5,0.5,0.7500000000000002,0.7000000000000002,0.8772079304338292,0.9486055582329253,0.8634314178120754
273,vote5,0.55,0.6000000000000001,0.55,0.8771724570485928,0.9380345487214315,0.8722276043975609
228,vote5,0.5,0.8000000000000003,0.6500000000000001,0.8768425925168429,0.9475487638199174,0.8633921929203868
138,vote5,0.5,0.6500000000000001,0.8000000000000003,0.8768269708734865,0.9487904326016445,0.8629314538558546
168,vote5,0.5,0.7000000000000002,0.7500000000000002,0.876385316428017,0.9489031474913748,0.8620886534889562
278,vote5,0.55,0.6000000000000001,0.6000000000000001,0.8761986953938853,0.9419231003274806,0.8675234028810056
263,vote5,0.55,0.55,0.7000000000000002,0.8761769174123515,0.9459086335944867,0.8641953484592778
233,vote5,0.5,0.8000000000000003,0.7000000000000002,0.874877627414984,0.9509378508278762,0.8577847742780594
283,vote5,0.55,0.6000000000000001,0.6500000000000001,0.8748675242647047,0.9454373012356871,0.8625720679539579
203,vote5,0.5,0.7500000000000002,0.7500000000000002,0.8747434188908172,0.9514722375801407,0.8573965827189094
173,vote5,0.5,0.7000000000000002,0.8000000000000003,0.8746238912591925,0.9519726920796411,0.8570042699875096
298,vote5,0.55,0.6500000000000001,0.55,0.874594619088959,0.9416289402259204,0.8649361822318206
4,vote6,0.5,0.5,0.5,0.8743186577212235,0.9323202764754972,0.8744227040781476
9,vote6,0.5,0.5,0.55,0.8736232061964598,0.9368199637760729,0.8696625849790075
288,vote5,0.55,0.6000000000000001,0.7000000000000002,0.8734777146287298,0.9485722183824485,0.8580320304026666
303,vote5,0.55,0.6500000000000001,0.6000000000000001,0.8732973862258482,0.945026549311219,0.8602999145435307
268,vote5,0.55,0.55,0.7500000000000002,0.8731351988719429,0.9484686775350475,0.8574044200000056
39,vote6,0.5,0.55,0.5,0.8728538427851689,0.9384231342112719,0.8671809069459173
208,vote5,0.5,0.7500000000000002,0.8000000000000003,0.8726295814220655,0.9548580649350282,0.8513182208109341
323,vote5,0.55,0.7000000000000002,0.55,0.8723226344714661,0.9453792314080698,0.8580880349657102
14,vote6,0.5,0.5,0.6000000000000001,0.8722936911753599,0.9419596908224699,0.8636767038153563
238,vote5,0.5,0.8000000000000003,0.7500000000000002,0.8719648397804642,0.9539283211134107,0.8509882965154059
308,vote5,0.55,0.6500000000000001,0.6500000000000001,0.8719231347794044,0.9479192856373048,0.8558819440330063
44,vote6,0.5,0.55,0.55,0.8717614375187893,0.9418041905848499,0.8630125435463725
328,vote5,0.55,0.7000000000000002,0.6000000000000001,0.8715250731718291,0.9487926614201826,0.8543944593543967
19,vote6,0.5,0.5,0.6500000000000001,0.8711911265931476,0.9457942414475257,0.8593198357962566
293,vote5,0.55,0.6000000000000001,0.7500000000000002,0.8709052476597586,0.9512270480524816,0.8520520710333477
74,vote6,0.5,0.6000000000000001,0.5,0.870643342542617,0.9427759013497468,0.8600571338001445
313,vote5,0.55,0.6500000000000001,0.7000000000000002,0.8704124476475411,0.9511284613214103,0.8511998219108664
333,vote5,0.55,0.7000000000000002,0.6500000000000001,0.8703489564596892,0.9513813479863197,0.8508236300864843
49,vote6,0.5,0.55,0.6000000000000001,0.8703195471779799,0.9458074572639351,0.8579661225910805
348,vote5,0.55,0.7500000000000002,0.55,0.8700687040264131,0.9478385562261195,0.8526336770399672
24,vote6,0.5,0.5,0.7000000000000002,0.8698846154862218,0.9489614343261158,0.854706099737437
